date,Infosys_avg_sentiment,Open,High,Low,Close,Adj Close,Volume
2021-08-02,0.6802961598150432,1627.449951171875,1634.75,1619.199951171875,1631.550048828125,1520.4117431640625,5553389
2021-08-03,-0.10969209113682155,1647.0,1658.6500244140625,1635.5999755859375,1655.199951171875,1542.45068359375,5513668
2021-08-04,0.8515919652168772,1669.0999755859375,1679.9000244140625,1639.050048828125,1649.25,1536.906005859375,6740391
2021-08-09,-0.5551043637096882,1661.0,1667.449951171875,1646.4000244140625,1663.300048828125,1549.9989013671875,5018477
2021-08-10,-0.9800787912681699,1668.0,1680.0,1661.050048828125,1677.25,1562.9986572265625,6846517
2021-08-13,0.9978080184664577,1697.0,1722.5,1691.300048828125,1712.199951171875,1595.56787109375,5612790
2021-08-16,-0.48687025350227486,1707.699951171875,1719.949951171875,1690.0999755859375,1704.4000244140625,1588.2991943359375,4564109
2021-08-17,-0.5390758123248816,1703.9000244140625,1748.9000244140625,1686.550048828125,1741.6500244140625,1623.0118408203125,9510390
2021-08-20,-0.9881522847572342,1716.0999755859375,1745.0,1716.0999755859375,1732.949951171875,1614.904296875,6206972
2021-08-23,-0.8667920518564642,1735.75,1753.1500244140625,1732.0,1738.75,1620.3094482421875,6189051
2021-08-24,-0.2714512574893888,1750.0,1757.0,1712.699951171875,1720.8499755859375,1603.628662109375,7602939
2021-08-25,0.1891957774059847,1718.0,1746.9000244140625,1718.0,1735.550048828125,1617.3275146484375,6153253
2021-08-26,0.6640480289388506,1734.0,1746.0,1720.0,1727.699951171875,1610.011962890625,5302248
2021-08-27,-0.7610494134326776,1725.0,1727.699951171875,1705.199951171875,1708.800048828125,1592.3995361328125,6698514
2021-09-01,0.00013340797158889472,1709.5,1709.5,1673.1500244140625,1677.75,1563.464599609375,7801974
2021-09-02,-0.21354489837540314,1677.3499755859375,1694.300048828125,1662.6500244140625,1689.0999755859375,1574.0413818359375,6830050
2021-09-03,-0.9985009205411188,1696.050048828125,1705.949951171875,1684.4000244140625,1700.6500244140625,1584.8046875,5339139
2021-09-06,-0.45871679689298617,1705.1500244140625,1732.0,1699.3499755859375,1730.4000244140625,1612.528076171875,4876026
2021-09-07,0.060310558998025954,1730.0,1734.9000244140625,1704.0,1706.6500244140625,1590.39599609375,3520341
2021-09-08,-0.5058978030089444,1700.8499755859375,1700.8499755859375,1682.949951171875,1693.25,1577.9088134765625,4584896
2021-09-09,0.07954299818569173,1685.9000244140625,1694.9000244140625,1682.1500244140625,1691.5999755859375,1576.3712158203125,3331674
