date,Mahindra_avg_sentiment,Open,High,Low,Close,Adj Close,Volume
2021-08-02,0.15714962255879072,750.0,759.0499877929688,744.5999755859375,757.7000122070312,729.2294311523438,2260861
2021-08-03,-0.997431532246992,763.4000244140625,772.7000122070312,755.5,770.8499755859375,741.8853149414062,3235393
2021-08-04,0.9903642359131481,773.0,775.7999877929688,764.5499877929688,766.25,737.4581298828125,2659372
2021-08-05,0.4436496895614255,766.0,766.3499755859375,756.7000122070312,759.3499755859375,730.8174438476562,1451370
2021-08-06,0.5056219144358433,763.7999877929688,772.2999877929688,755.0,758.25,729.7587890625,4471604
2021-08-09,0.08304034260412058,762.0,782.0,761.5,774.9500122070312,745.8313598632812,6700633
2021-08-10,0.08365180192555746,776.9500122070312,789.7999877929688,775.1500244140625,786.2999877929688,756.7547607421875,4724852
2021-08-11,0.5271150849584956,786.2999877929688,789.9500122070312,767.5,778.7000122070312,749.4403686523438,3147983
2021-08-12,0.4194755743706732,781.0,794.6500244140625,773.75,776.2000122070312,747.0343017578125,3551026
2021-08-16,-0.03344381799252005,780.4000244140625,803.9500122070312,780.25,799.2999877929688,769.2662963867188,7131928
2021-08-17,0.3092981744557619,799.25,803.9500122070312,782.0,790.6500244140625,760.9413452148438,3835522
2021-08-18,-0.21664974805233733,793.9000244140625,797.0,786.9000244140625,791.3499755859375,761.6150512695312,2450964
2021-08-20,0.1651215326432562,788.7999877929688,791.3499755859375,776.25,785.6500244140625,756.1292114257812,3050982
2021-08-23,-0.28465392454139266,790.0,793.4500122070312,763.6500244140625,765.9000244140625,737.1212768554688,2512960
2021-08-24,-0.9968204270116985,767.0,779.9000244140625,761.5999755859375,778.1500244140625,748.9110717773438,1662376
2021-08-25,-0.3961294812033884,780.9500122070312,783.0,770.5499877929688,772.0499877929688,743.0402221679688,1693443
2021-08-26,0.9901884340215474,771.0,782.9000244140625,767.25,781.4000244140625,752.0389404296875,2576883
2021-08-27,-0.4599869197028546,779.9000244140625,785.0,765.0,775.1500244140625,746.0237426757812,2907125
2021-08-30,0.1882709872443229,783.9500122070312,794.1500244140625,783.0,791.5499877929688,761.8075561523438,3028708
2021-08-31,-0.2787734270095825,788.0,795.7999877929688,781.2999877929688,793.2999877929688,763.4918212890625,3324467
2021-09-01,0.8959225316066295,793.2999877929688,802.5,768.9000244140625,769.9000244140625,740.9710693359375,6031309
2021-09-02,-0.23418489930336364,772.8499755859375,774.1500244140625,750.0,752.4500122070312,724.1766357421875,4879865
2021-09-03,0.19821190127792457,756.0,757.0,745.0999755859375,749.9000244140625,721.7225952148438,4257842
2021-09-06,0.31707335154836375,753.0,759.7999877929688,747.0499877929688,754.75,726.390380859375,3682183
2021-09-07,0.7588290198764298,755.0999755859375,758.7000122070312,748.0999755859375,753.0999755859375,724.8023071289062,2273976
2021-09-08,-0.10282366432754013,756.0,757.7999877929688,749.0,754.75,726.390380859375,2380939
2021-09-09,-0.9548244551600268,750.0,756.5,747.5499877929688,750.75,722.5406494140625,3313559
2021-09-13,-0.19098843987255046,753.5,753.5,740.3499755859375,745.5499877929688,717.5359497070312,3139833
2021-09-14,-0.008116016048006713,744.7999877929688,752.5499877929688,744.6500244140625,750.2000122070312,722.0112915039062,3089381
2021-09-15,0.005089423269964755,752.0,760.0,746.5,755.0999755859375,726.7271118164062,3336656
2021-09-16,0.767931633679175,759.8499755859375,761.0,751.3499755859375,756.9500122070312,728.5076904296875,2686018
2021-09-17,0.23108508896984858,758.2000122070312,766.0,749.1500244140625,754.1500244140625,725.8128051757812,5504398
2021-09-20,0.1888133977384617,749.4000244140625,756.5,732.2000122070312,738.0499877929688,710.3177490234375,2933375
2021-09-21,0.3479189057446395,740.0999755859375,740.9000244140625,729.5499877929688,738.4500122070312,710.7028198242188,2380834
2021-09-22,-0.3904482093639672,738.9000244140625,759.0,738.4500122070312,752.5,724.224853515625,2287017
2021-09-23,-0.12927324115298688,756.5,762.0,752.75,758.4500122070312,729.9512939453125,1890322
2021-09-24,-0.17178113186673727,759.5,782.0499877929688,752.5499877929688,779.4500122070312,750.1622314453125,4967824
2021-09-27,-0.17155253142118454,789.5,813.75,783.0499877929688,811.3499755859375,780.863525390625,9210666
2021-09-28,-0.11077083057413499,820.0,822.0,796.25,806.0499877929688,775.7626953125,3853344
2021-09-29,-0.17198145346192178,800.0,815.7000122070312,799.0,812.0999755859375,781.5853881835938,2291977
2021-09-30,0.023083055882077468,808.0499877929688,817.4000244140625,801.2999877929688,803.0499877929688,772.8754272460938,3264689
2021-10-01,0.2577928802384122,800.0,831.0,787.0,827.8499755859375,796.7435913085938,7704216
2021-10-04,-0.2176430138060823,832.5,852.0,828.0999755859375,841.1500244140625,809.5438232421875,6544700
2021-10-05,0.434107680031208,841.1500244140625,846.0,835.0499877929688,843.0499877929688,811.3724365234375,2647442
2021-10-06,0.6151737906038761,846.0,854.9000244140625,829.0,834.0999755859375,802.7586669921875,3288323
2021-10-07,-0.31712268335888016,839.7000122070312,887.7999877929688,837.1500244140625,878.25,845.2498779296875,9515673
2021-10-08,0.3540092909242958,893.7000122070312,895.0,872.5499877929688,877.7999877929688,844.816650390625,3938358
2021-10-11,-0.07893257683544005,879.0,902.5,879.0,895.5999755859375,861.9478149414062,5493159
2021-10-12,-0.11720591480843723,888.0,894.6500244140625,877.0,890.0999755859375,856.6544799804688,3433345
2021-10-13,0.38637678116971913,893.0,971.1500244140624,893.0,935.3499755859376,900.2042236328125,17519612
2021-10-14,-0.27369347138301237,938.5,946.25,922.2000122070312,931.4000244140624,896.4027099609375,3354982
2021-10-18,0.38760705999447964,958.0,958.0,908.2999877929688,910.9500122070312,876.7210693359375,2885649
2021-10-19,-0.42186748117674144,911.0,927.5999755859376,901.2000122070312,917.5,883.0249633789062,3476818
2021-10-20,0.03525878322543576,913.0,924.9000244140624,894.6500244140625,899.3499755859375,865.5569458007812,3551282
2021-10-21,-0.03122959199494549,908.2999877929688,911.0999755859376,893.4000244140625,897.0,863.2952880859375,2614538
2021-10-22,-0.23921555597610822,904.0,909.7999877929688,885.0999755859375,887.8499755859375,854.489013671875,1999394
2021-10-25,-0.32207584744901396,883.0,905.9000244140624,883.0,890.7000122070312,857.2320556640625,2833933
2021-10-26,0.07155519106405943,893.4000244140625,900.0,884.0,894.5499877929688,860.9373168945312,3410657
2021-10-27,0.5395312074170862,900.0,903.7999877929688,883.5,886.7999877929688,853.4785766601562,3362019
2021-10-28,0.3706413086038083,887.0,896.0,877.9000244140625,883.8499755859375,850.6393432617188,2171227
2021-10-29,0.30980807963351253,883.5,901.5,862.0,884.25,851.0242919921875,2482056
